id,description
4123,PC enteral feeding tube management capability
4124,AMB seriously ill infant
4125,PC drain management capability
4126,ED nail avulsion
4127,ED subungual haematoma
4128,PC local infection
4129,PC minor injury
4130,PC rabies risk
4131,AMB envenomation
4132,"ED tick, removal required"
4133,AMB burst abdomen
4134,ED full ophthalmic ED assessment and management capability
4135,"AMB fall, significant"
4136,"AMB associated injury, risk"
4137,"AMB vaginal bleeding, pregnant"
4138,"ED wound, contaminated"
4139,"AMB ischaemia, limb"
4140,ED tight/painful plaster
4141,ED loose/damaged plaster
4143,PC palliative care service
4144,AMB multiple birth
4145,AMB pre-term
4146,"ED ischaemia, digit/s"
4147,AMB stillbirth
4148,"AMB burn, electrical"
4149,AMB post delivery
4150,AMB neonatal respiratory arrest
4151,AMB abdominal injury
4152,AMB amputation
4153,"AMB bleeding, significant"
4154,AMB hazardous object
4155,PC full Primary Care assessment and prescribing capability - blood in motion
4156,PC Possible DVT
4163,AMB diabetic ketoacidosis
4164,AMB diabetic ketoacidosis in pregnancy
4165,AMB diabetes AND confusion
4167,"AMB analgesia overdose, accidental"
4169,AMB diabetes AND reduced conscious level
4170,PC syringe driver management capability - palliative care services
4171,PC full Primary Care TIA assessment and prescribing capability
4173,PC bereavement
4175,PC postnatal mental health problem
4176,PC post-traumatic stress
4177,PC depressed mood
4178,PC agitation
4179,PC anxiety/panic
4180,"PC mental health assessment, alcohol misuse"
4181,"PC mental health assessment, drug misuse"
4182,"PC drug misuse, information"
4183,"PC mental health assessment, solvent misuse"
4184,"PC solvent misuse, information"
4185,PC hallucinations
4186,"AMB road traffic incident, unknown casualties"
4187,"AMB hazard, electrical, unknown casualties"
4188,"AMB hazard, chemical, unknown casualties"
4189,"AMB hazard, other, unknown casualties"
4190,AMB trapped and ejected from a vehicle
4191,AMB trapped
4192,PC medication enquiry
4193,PC general health information
4194,"PC pharmacy, location information"
4195,"PC GP practice, location information"
4196,"PC sexual health service, location information"
4197,"PC optician, location information"
4198,PC failed contraception
4199,"PC repeat prescription, routine"
4200,PC appointment request
4201,AMB ejected from vehicle
4202,"AMB multiple casualties, unable to walk"
4203,AMB immediate threat to life
4204,"PC dental service, location information"
4205,ED schizophrenia
4206,PC bipolar disorder
4207,PC chronic depression
4208,ED mania/hypomania
4209,PC generalised anxiety disorder
4210,PC Dementia/alzheimer's
4211,PC self-harm
4212,AMB cardiac arrest
4213,AMB choking
4214,AMB unconscious
4215,"AMB major blood loss, trauma"
4216,"AMB major blood loss, non-trauma"
4217,"AMB major blood loss, non-trauma AND respiratory distress"
4218,"AMB major blood loss, non-trauma AND shock"
4219,"AMB major blood loss, non-trauma AND septicaemia"
4220,"AMB major blood loss, trauma AND amputated digits"
4221,"AMB threat to life, environmental"
4222,AMB major trauma AND significant blood loss
4223,"AMB vaginal bleeding,heavy AND pregnant,over 20 weeks"
4224,"AMB gunshot OR stab injury, head/neck"
4225,AMB gunshot OR stab injury
4226,"AMB Road Traffic Incident, ejected from vehicle"
4227,"AMB Road Traffic Incident, vehicle rollover"
4228,"AMB major burn, respiratory involvement"
4229,AMB major burn
4230,AMB major blunt injury
4231,AMB major wound/amputation
4232,AMB multiple major injuries
4233,AMB near-drowning
4234,AMB strangulation/suffocation
4235,AMB blast injury
4236,AMB lightning strike
4237,AMB major trauma AND trapped at scene
4238,AMB self-harm episode AND toxic ingestion/inhalation/overdose
4239,AMB chest injury AND cardiac/respiratory symptoms
4240,AMB loss of consciousness prior to injury
4241,AMB stroke symptoms prior to injury
4242,AMB subarachnoid haemorrhage symptoms prior to injury
4243,"AMB resuscitation, recent"
4244,"AMB suicidal, means and plan"
4245,"ED suicidal, no means nor plan"
4247,"PC expected death, terminal illness"
4248,ALL unexpected death
4249,"AMB gunshot OR stab injury, torso"
4250,AMB ectopic pregnancy
4251,AMB road traffic incident
4252,AMB public order incident
4253,AMB police request for assistance
4254,AMB other police incident
4255,AMB fire incident
4256,AMB other fire incident
4257,AMB lift entrapment incident
4258,AMB fire alarm activation incident
4259,AMB fire service road traffic incident
4260,AMB fire service request for assistance
4261,AMB other fire service incident
4262,AMB rescue service specific request
4263,AMB rescue service request for assistance
4264,AMB other rescue service incident
4265,AMB large passenger ship incident
4266,AMB large cargo ship incident
4267,AMB chemical or oil tanker incident
4268,AMB fishing vessel incident
4269,AMB inland cargo ship incident
4270,AMB small water vessel incident
4271,AMB other marine incident
4272,AMB metalworking industry incident
4273,AMB foodstuffs industry incident
4274,AMB petrochemical industry incident
4275,AMB hazardous chemical industry incident
4276,AMB radiological industry incident
4277,AMB industrial request for assistance
4278,AMB other industrial incident
4279,AMB hospital evacuation request
4280,AMB hospital public health incident
4281,AMB hospital request for assistance
4282,AMB other hospital incident
4283,AMB unwell persons on plane
4284,AMB light civilian aircraft incident
4285,AMB commercial civilian aircraft incident
4286,AMB civilian cargo aircraft incident
4287,AMB airport or aircraft incident
4288,AMB military aircraft incident
4289,AMB other aircraft incident
4290,AMB unwell persons on train
4291,AMB railway station incident
4292,AMB rail or train incident
4293,AMB railways request for assistance
4294,AMB other railways incident
4295,AMB unwell persons on bus
4296,AMB bus station incident
4297,AMB bus incident
4298,AMB bus request for assistance
4299,AMB other bus incident
4300,AMB other assistance required
4301,AMB major blood loss
4302,PC mania/hypomania
4303,PC schizophrenia
4304,ED unable to weightbear
4305,ED local infection
4306,ED highly dangerous chemical
4308,"PC intrauterine coil, insertion or removal capability"
4309,"PC support pessary, insertion or removal capability"
4310,PC extended ophthalmic assessment and prescribing capability (MECS)
4311,"PC extended ophthalmic assessment and management capability, minor condition (MECS)"
4312,ED extended ophthalmic assessment and prescribing capability (MECS)
4313,AMB sting ray
4314,"ED Weever Fish, Sea Urchin"
4315,PC Healthcare Professional Callback
4316,PC Community Healthcare Professional
4317,CN Health Visitor
